5;;;13;"B. Mariae Virginis de Fatima";"Mémoire facultative";;;;;;;;;;;;
5;;;14;"S. Matthiae, apostoli";"Fête";"Rouge";7;;;;;;;;;;
5;;;15;;;;;;;;;;;;;;
5;;;16;;;;;;;;;;;;;;
5;;;17;;;;;;;;;;;;;;
5;;;18;"S. Ioannis I, papae et martyris";"Mémoire facultative";;;;;;;;;;;;
5;;;19;;;;;;;;;;;;;;
5;;;20;"S. Bernardini Senensis, presbyteri";"Mémoire facultative";;;;;;;;;;;;
5;;;21;"S. Christophori Magallanes, presbyteri, et sociorum, martyrum";"Mémoire facultative";;;;;;;;;;;;
5;;;22;"S. Ritae de Cascia, religiosae";"Mémoire facultative";;;;;;;;;;;;
5;;;23;;;;;;;;;;;;;;
5;;;24;;;;;;;;;;;;;;
5;;;25;"S. Bedae Venerabilis, presbyteri et Ecclesiae doctoris";"Mémoire facultative";;;;;;;;;;;;
5;;;25;"S. Gregorii VII, papae";"Mémoire facultative";;;;;;;;;;;;
5;;;25;"S. Mariae Magdalenae de Pazzi, virginis";"Mémoire facultative";;;;;;;;;;;;
5;;;26;"S. Philippi Neri, presbyteri";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
5;;;27;"S. Augustini Cantuarensis, episcopi";"Mémoire facultative";;;;;;;;;;;;
5;;;28;;;;;;;;;;;;;;
5;;;29;;;;;;;;;;;;;;
5;;;30;;;;;;;;;;;;;;
5;;;31;"In Visitatione B. Mariae Virginis";"Fête";"Blanc";7;;;;;;;;;;
6;;;1;"S. Iustini, martyris";"Mémoire obligatoire";"Rouge";10;;;;;;;;;;
6;;;2;"Ss. Marcellini et Petri, martyrum";"Mémoire facultative";;;;;;;;;;;;
6;;;3;"Ss. Caroli Lwanga et sociorum, martyrum";"Mémoire obligatoire";"Rouge";10;;;;;;;;;;
6;;;4;;;;;;;;;;;;;;
6;;;5;"S. Bonifatii, episcopi et martyris";"Mémoire obligatoire";"Rouge";10;;;;;;;;;;
6;;;6;"S. Norberti, episcopi";"Mémoire facultative";;;;;;;;;;;;
6;;;7;;;;;;;;;;;;;;
6;;;8;;;;;;;;;;;;;;
6;;;9;"S. Ephraem, diaconi et Ecclesiae doctoris";"Mémoire facultative";;;;;;;;;;;;
6;;;10;;;;;;;;;;;;;;
6;;;11;"S. Barnabae, apostoli";"Mémoire obligatoire";"Rouge";10;;;;;;;;;;
6;;;12;;;;;;;;;;;;;;
6;;;13;"S. Antonii de Padova, presbyteri et Ecclesiae doctoris";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
6;;;14;;;;;;;;;;;;;;
6;;;15;;;;;;;;;;;;;;
6;;;16;;;;;;;;;;;;;;
6;;;17;;;;;;;;;;;;;;
6;;;18;;;;;;;;;;;;;;
6;;;19;"S. Romualdi, abbatis";"Mémoire facultative";;;;;;;;;;;;
6;;;20;;;;;;;;;;;;;;
6;;;21;"S Aloisii Gonzaga, religiosi";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
6;;;22;"S. Paulini Nolani";"Mémoire facultative";;;;;;;;;;;;
6;;;22;"Ss. Ioannis Fisher, episcopi, et Thomae More, martyrum";"Mémoire facultative";;;;;;;;;;;;
6;;;23;;;;;;;;;;;;;;
6;;;24;"IN NATIVITATE S. IOANNIS BAPTISTAE";"Solennité";"Blanc";4;;;;;;;;;;
6;;;25;;;;;;;;;;;;;;
6;;;26;;;;;;;;;;;;;;
6;;;27;"S. Cyrilli Alexandrini, episcopi et Ecclesiae doctoris";"Mémoire facultative";;;;;;;;;;;;
6;;;28;"S. Irenaei, episcopi et martyris";"Mémoire obligatoire";"Rouge";10;;;;;;;;;;
6;;;29;"Ss. PETRI ET PAULI, APOSTOLORUM";"Solennité";"Rouge";4;;;;;;;;;;
6;;;30;"Ss. Protomartyrum S. Romanae Ecclesiae";"Mémoire facultative";;;;;;;;;;;;
;;;;"SACRATISSIMI CORDIS IESU";"Solennité";"Rouge";3;;;;;;;;;;
;;;;"Immaculati Cordis B. Mariae Virginis";"Mémoire obligatoire";"Rouge";10;;;;;;;;;;
7;;;1;;;;;;;;;;;;;;
7;;;2;;;;;;;;;;;;;;
7;;;3;"S. Thomae, apostoli";"Fête";"Rouge";10;;;;;;;;;;
7;;;4;"S. Elisabeth Lusitaniae";"Mémoire facultative";;;;;;;;;;;;
7;;;5;"S. Antonii Mariae Zaccaria, presbyteri";"Mémoire facultative";;;;;;;;;;;;
7;;;6;"S. Mariae Goretti, virginis et martyris";"Mémoire facultative";;;;;;;;;;;;
7;;;7;;;;;;;;;;;;;;
7;;;8;;;;;;;;;;;;;;
7;;;9;"Ss. Augustini Zhao Rong, presbyteri et sociorum, martyrum.";;;;;;;;;;;;;
7;;;10;;;;;;;;;;;;;;
7;;;11;"S. Benedicti, abbatis";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
7;;;12;;;;;;;;;;;;;;
7;;;13;"S. Henrici";"Mémoire facultative";;;;;;;;;;;;
7;;;14;"S. Camilli de Lellis, presbyteri";"Mémoire facultative";;;;;;;;;;;;
7;;;15;"S. Bonaventurae, episcopi et Ecclesiae doctoris";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
7;;;16;"B. Mariae Virginis de Monte Carmelo";"Mémoire facultative";;;;;;;;;;;;
7;;;17;;;;;;;;;;;;;;
7;;;18;;;;;;;;;;;;;;
7;;;19;;;;;;;;;;;;;;
7;;;20;"S. Apollinaris, episcopi et martyris";"Mémoire facultative";;;;;;;;;;;;
7;;;21;"S. Laurentii de Brindisi, presbyteri et Ecclesiae doctoris";"Mémoire facultative";;;;;;;;;;;;
7;;;22;"S. Mariae Magdalenae";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
7;;;23;"S. Birgittae, religiosae";"Mémoire obligatoire";"Blanc";;;;;;;;;;;
7;;;24;"S. Sarbelii Makhluf, presbyteri";"Mémoire facultative";;;;;;;;;;;;
7;;;25;"S. Iacobi, apostoli";"Fête";"Rouge";10;;;;;;;;;;
7;;;26;"Ss. Ioachim et Annae, parentum B. Mariae Virginis";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
7;;;27;;;;;;;;;;;;;;
7;;;28;;;;;;;;;;;;;;
7;;;29;"S. Marthae";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
